ls;name;number;data_pov_next;location;type
900001;;;;;hv
900001;;;;;gv
900001;;;;;e
900002;;;;;hv
900002;;;;;gv
900002;;;;;e
900003;;;;;hv
900003;;;;;gv
900003;;;;;e
900004;;;;;hv
900004;;;;;gv
900004;;;;;e
900005;;;;;hv
900005;;;;;gv
900005;;;;;e
900006;;;;;hv
900006;;;;;gv
900006;;;;;e
900007;;;;;hv
900007;;;;;gv
900007;;;;;e
900008;;;;;hv
900008;;;;;gv
900008;;;;;e
900009;;;;;hv
900009;;;;;gv
900009;;;;;e
900010;;;;;hv
900010;;;;;gv
900010;;;;;e
900011;;;;;hv
900011;;;;;gv
900011;;;;;e
900012;;;;;hv
900012;;;;;gv
900012;;;;;e
900013;;;;;hv
900013;;;;;gv
900013;;;;;e
900014;;;;;hv
900014;;;;;gv
900014;;;;;e
900015;;;;;hv
900015;;;;;gv
900015;;;;;e
900016;;;;;hv
900016;;;;;gv
900016;;;;;e
900017;;;;;hv
900017;;;;;gv
900017;;;;;e
900018;;;;;hv
900018;;;;;gv
900018;;;;;e
900019;;;;;hv
900019;;;;;gv
900019;;;;;e
900020;;;;;hv
900020;;;;;gv
900020;;;;;e
900021;;;;;hv
900021;;;;;gv
900021;;;;;e
900022;;;;;hv
900022;;;;;gv
900022;;;;;e
900023;;;;;hv
900023;;;;;gv
900023;;;;;e
900024;;;;;hv
900024;;;;;gv
900024;;;;;e
900025;;;;;hv
900025;;;;;gv
900025;;;;;e
900026;;;;;hv
900026;;;;;gv
900026;;;;;e
900027;;;;;hv
900027;;;;;gv
900027;;;;;e
900028;;;;;hv
900028;;;;;gv
900028;;;;;e
900029;;;;;hv
900029;;;;;gv
900029;;;;;e
900030;;;;;hv
900030;;;;;gv
900030;;;;;e
900031;;;;;hv
900031;;;;;gv
900031;;;;;e
900032;;;;;hv
900032;;;;;gv
900032;;;;;e
900033;;;;;hv
900033;;;;;gv
900033;;;;;e
900034;;;;;hv
900034;;;;;gv
900034;;;;;e
900035;;;;;hv
900035;;;;;gv
900035;;;;;e
900036;;;;;hv
900036;;;;;gv
900036;;;;;e
900037;;;;;hv
900037;;;;;gv
900037;;;;;e
900038;;;;;hv
900038;;;;;gv
900038;;;;;e
900039;;;;;hv
900039;;;;;gv
900039;;;;;e
900040;;;;;hv
900040;;;;;gv
900040;;;;;e
900041;;;;;hv
900041;;;;;gv
900041;;;;;e
900042;;;;;hv
900042;;;;;gv
900042;;;;;e
900043;;;;;hv
900043;;;;;gv
900043;;;;;e
900044;;;;;hv
900044;;;;;gv
900044;;;;;e
900045;;;;;hv
900045;;;;;gv
900045;;;;;e
900046;;;;;hv
900046;;;;;gv
900046;;;;;e
900047;;;;;hv
900047;;;;;gv
900047;;;;;e
900048;;;;;hv
900048;;;;;gv
900048;;;;;e
900049;;;;;hv
900049;;;;;gv
900049;;;;;e
900050;;;;;hv
